Word,Certainty,NumWords,NumCharacters
did not have any,5.6,4,16
did not provide,7.23,3,15
did not seem,3.89,3,12
did say that,7.41,3,12
didn't do it,6.74,3,12
didn't even,5.83,2,11
didn't he,4.08,2,9
didn't mean,4.37,2,11
didn't quite,4.83,2,12
didn't see it,5.85,3,13
didn't work out,6.2,3,15
different options,3.27,2,17
differentiates,6.5,1,14
difficult,5.6,1,9
difficult to understand,2.58,3,23
dignified,6.8,1,9
diminished,4.31,1,10
directly involved in,7.7,3,20
disagree,5.36,1,8
disagreed with,6.12,2,14
disbelieving,4.54,1,12
discarded,6.56,1,9
disconcert,3.22,1,10
discretionary,5.04,1,13
distributed,6.63,1,11
do exist,7.56,2,8
do not contain,7.14,3,14
do not have,7.03,3,11
do not know,1.24,3,11
do not necessarily,3.77,3,18
do not seem to,3.03,4,14
doable,6.96,1,6
dodgy,2.52,1,5
does exist,7.63,2,10
does not actually,6.86,3,17
does not appear to,3.8,4,18
does not constitute,5.94,3,19
does not contain,6.27,3,16
does not do,5.41,3,11
does not exist,6.2,3,14
does not go,5.93,3,11
does not happen,7.23,3,15
does not have an,5.62,4,16
does not have to,5.17,4,16
does not include,7.04,3,16
does not know,1.45,3,13
does not necessarily,3.44,3,20
does not provide,5.26,3,16
does not seem,3,3,13
does not want to,5.72,4,16
does not work,6.86,3,13
does seem,5.6,2,9
doesn't,5.5,1,7
doesn't exist,7.25,2,13
doesn't seem to,3.94,3,15
doesn't work,7.88,2,12
doing okay,5.71,2,10
doing something,5.8,2,15
don't,4.67,1,5
don't even know,1.77,3,15
don't exist,7.17,2,11
don't have any,5.7,3,14
don't have anything,5.56,3,19
don't know,0.59,2,10
don't really,2.83,2,12
don't really know,2.96,3,17
don't seem,3.56,2,10
don't think,2.53,2,11
don't think i,2.97,3,13
don't think we,3.13,3,14
done,7.68,1,4
done already,6.56,2,12
done and,7,2,8
done for,6.06,2,8
done the,6.8,2,8
done this,7.26,2,9
doubt about,3.5,2,11
doubt as,2.41,2,8
doubted,2.76,1,7
doubtless,7.04,1,9
doubtlessly,6.3,1,11
doubts,2.21,1,6
educated guess,4.1,2,14
effect is,6.23,2,9
emphasized,7.04,1,10
emphatic,6.89,1,8
enable,6.8,1,6
end by,6.12,2,6
end result is,8,3,13
endangering,5.8,1,11
enforced,7.55,1,8
enlisted,6.87,1,8
enough is,6.04,2,9
ensure that,6.9,2,11
ensured,7.24,1,7
ensures the,7.83,2,11
ensuring that,7,2,13
ensuring the,6.75,2,12
entails,5.82,1,7
entitled to,6.65,2,11
entrenched in,6.93,2,13
equates,7.07,1,7
eradicated,7.82,1,10
especially,6.52,1,10
especially regarding,7.1,2,20
especially when it comes,5.5,4,24
essential,7.4,1,9
established and,7.19,2,15
established by,7.6,2,14
established in,7,2,14
establishing,6.9,1,12
estates,6,1,7
estimate is,4.04,2,11
estimated that,4.07,2,14
estimates,3.86,1,9
estimates are,4.71,2,13
estimates that,4.67,2,14
estimation,3.64,1,10
estimations,4.52,1,11
even believe,5.62,2,12
even possible,4.96,2,13
everybody is,7.87,2,12
everybody knows,7.61,2,15
everyday,7.15,1,8
everyone has,7.22,2,12
everyone has the,7.15,3,16
everyone is,7.33,2,11
everyone knows,7.9,2,14
everything but,6.33,2,14
everything goes,7.13,2,15
everything is fine,7.07,3,18
everything possible,5.08,2,19
evidence as,7.24,2,11
evidence of,7.63,2,11
evidence presented,7.29,2,18
evidence supporting,7.19,2,19
evidence that,7.03,2,13
evidence to,6.77,2,11
evidence to suggest that,5.58,4,24
evidence was,6.64,2,12
evidenced,7.8,1,9
evidences,7.33,1,9
evident that,7.83,2,12
evidently,6.83,1,9
exact,8.48,1,5
exactly,8.07,1,7
exactly is,7.78,2,10
exactly right,7.97,2,13
exactly the same,7.77,3,16
exactly what,6.03,2,12
exactness,8.46,1,9
examining,5.83,1,9
exclude,6.79,1,7
excluded,6.27,1,8
exclusively,8.38,1,11
exemplifies,7.92,1,11
exempted,7.42,1,8
exhibiting,6.47,1,10
exists,7.11,1,6
expect,5.63,1,6
expect that the,6.15,3,15
expectation is,5.28,2,14
expectations are,5.81,2,16
expectations that,5.5,2,17
expected,7.09,1,8
expected to,6.7,2,11
expected to have,5.8,3,16
expecting,5.97,1,9
expects a,5.68,2,9
explains,7.33,1,8
explicitly,8.39,1,10
exposed to,5.84,2,10
exposing,6.63,1,8
extensively,7,1,11
extremely,7.8,1,9
extremely likely,8.1,2,16
extremely unlikely,5.92,2,18
extremly,7.9,1,8
fact is,7.72,2,7
fact was,7.39,2,8
facts about,7.62,2,11
factual,7.44,1,7
factually,8.47,1,9
failed,6.67,1,6
faith in,6.47,2,8
fallacy,4.94,1,7
false,6.77,1,5
favorably,6.07,1,9
favours,6.35,1,7
feasible,4.68,1,8
feel confident,6.7,2,14
feel is,5.4,2,7
feel that the,5.33,3,13
feeling is that,5.33,3,15
feelings are,5.27,2,12
felt that,4.69,2,9
finalize,7.52,1,8
finalized,7.96,1,9
finalizing,7.59,1,10
find it,6.07,2,7
finished,7.9,1,8
firm,7.6,1,4
fluctuation,3.61,1,11
focus on,6.42,2,8
for ever,7.88,2,8
for long periods,6.28,3,16
for providing,6.28,2,13
forced,6.9,1,6
forecasts,5.69,1,9
found guilty,7.78,2,12
found it,6.83,2,8
found out that,6.6,3,14
found that,6.97,2,10
found to be,7.47,3,11
founded,7.24,1,7
frequently used,6.69,2,15
fuck knows,1.86,2,10
fucked,6.11,1,6
fulfill,7.45,1,7
fulfilled,7.79,1,9
full,7.28,1,4
fully committed,8.14,2,15
fully understood,7.52,2,16
functional,6.18,1,10
fundamentally,7.17,1,13
game over,7.93,2,9
general is,6.47,2,10
generally,5.57,1,9
generally considered,5.53,2,20
given the fact,6.96,3,14
god knows,3.5,2,9
going to be able,6.47,4,16
going to change,5.87,3,15
going to die,6.88,3,12
going to happen,7.47,3,15
gonna do,5.96,2,8
good chance,5,2,11
got no idea,2.38,3,11
got to be,6.5,3,9
granted,6.7,1,7
great potential,6.15,2,15
great sense,6.19,2,11
greatest,7.33,1,8
growing,5.55,1,7
guarantee,7.88,1,9
guarantee of,8.21,2,12
guarantee that,8,2,14
guarantee to,8.19,2,12
guaranteed,8.11,1,10
guaranteed a,7.63,2,12
guaranteed and,8.2,2,14
guaranteed by,8.21,2,13
guaranteed to,8.37,2,13
guaranteeing,7.72,1,12
guarantees,8.24,1,10
guess i am,2.63,3,10
guess is,2.3,2,8
guess that,3.17,2,10
guessed,2.48,1,7
guessing,1.81,1,8
guesswork,1.57,1,9
guided,6.64,1,6
had already been,6.85,3,16
had always,6.93,2,10
had always been,7.41,3,15
had ended,6.33,2,9
had found,6.78,2,9
had happened,7.15,2,12
had in mind,5.55,3,11
had reached,6.44,2,11
had shown,7.08,2,9
had to have,5.54,3,11
had worked,6.57,2,10
happen,6.83,1,6
happened here,7.47,2,13
happened to,6.03,2,11
happened today,8.1,2,14
hard to believe,3.32,3,15
hard to say,1.77,3,11
hard to tell,2.71,3,12
hard to understand,2.83,3,18
has about,5.5,2,9
has absolutely nothing,6.56,3,22
has accomplished,7.25,2,16
has actually been,7.03,3,17
has agreed to,7.15,3,13
has already,7.06,2,11
has already made,7.56,3,16
has always had,7.48,3,14
has appeared,6.41,2,12
has become a,7.52,3,12
has been a very,6.81,4,15
has been estimated that,5.17,4,23
has been extremely,7.9,3,18
has been further,6.57,3,16
has been happening,6.56,3,18
has been identified,7.33,3,19
has been no,6.77,3,11
